,title,code,desciption,university
113,User Interface Tools,cs789,"Graphics input devices and interaction techniques. The pragmatic factors of various physical, logical and virtual devices, human factors of interactive systems, interaction dialogue managers.",waterloo
114,Non-Photorealistic Rendering,cs791,"Fundamentals of non-photorealistic computer depiction.  Problems of style, abstraction and spatial and temporal coherence.  Stroke-based rendering and simulation of traditional artistic media.  Stylized processing of images and video.  Real-time non-photorealistic rendering of 3D models;  toon shaders and contour rendering.  Geometric art and ornamental design.",waterloo
115,Data Structures and Standards in Health Informatics,cs792,"This course focuses on health data as a key component of all health informatics systems.  Topics include ontologies and other classification taxonomies found in health systems, data standards (with a focus on Canadian implementations of international standards), privacy and security of health data, client/patient assessment tools, and ethical considerations.",waterloo
116,Optimization for Data Science,cs794,"Techniques for formulating data science models as optimization problems. Algorithms for solving data science problems with an emphasis on scalability, efficiency and parallelizability including gradient-descent based algorithms, derivative-free algorithms, and randomized algorithms. Theoretical analyses of algorithms and approaches for recognizing the most suitable algorithm for solving a particular problem.",waterloo
117,Fundamentals of Optimization,cs795,"Linear optimization: Farkas' Lemma, duality, Simplex method, geometry of polyhedra. Combinatorial optimization: integrality of polyhedra, total unimodularity, flow problems, weighted bipartite matching. Continuous optimization: convex sets, Separation Theorem, convex functions, analytic characterizations of convexity, Karush-Kuhn-Tucker Theorem.",waterloo
118,Advanced Research Topics,cs798,,waterloo
119,Advanced Topics in Data Structures,cs840,,waterloo
120,Advanced Topics in Language Design and Implementation,cs842,,waterloo
121,Advanced Topics in Software Engineering,cs846,,waterloo
122,Advanced Topics in Data Bases,cs848,,waterloo
123,Advanced Topics  in Computer Architecture,cs850,,waterloo
124,Advanced Topics in Computer Systems,cs854,,waterloo
125,Advanced Topics in Distributed Computing,cs856,,waterloo
126,"Advanced Topics in Cryptography, Security and Privacy",cs858,,waterloo
127,Advanced Topics in Algorithms and Complexity,cs860,,waterloo
128,Advanced Topics in Quantum Computing,cs867,The course description will vary according to the topic offered under this course title.,waterloo
129,Advanced Topics in Logic Design,cs869,,waterloo
130,Advanced Topics  in Scientific Computation,cs870,,waterloo
131,Advanced Topics in Bioinformatics,cs882,,waterloo
132,Advanced Topics in Computational Statistics,cs885,,waterloo
133,Advanced Topics in Artificial Intelligence,cs886,,waterloo
134,Advanced Topics in Symbolic Computation,cs887,,waterloo
135,Advanced Topics in Computer Graphics,cs888,,waterloo
136,Advanced Topics in Human-Computer Interaction,cs889,,waterloo
137,Advanced Special Topics in Computer Science,cs898,,waterloo
138,Introduction to Statistical Methods in Health Informatics,stat631,"Exploratory data analysis and data visualization.  Confounding, censoring, selection bias, study designs and meta-analysis.  Statistical modelling for continuous and binary data.  Use of a statistics package, such as SAS, to analyze case studies will be important throughout.  This is open only to students registered in the Masters of Health Informatics plan.",waterloo
139,Literature and Research Studies,stat690,,waterloo
140,Systematic Review and Meta-Analysis,stat814,"This course will provide students with an overview of the rationale and stages involved in the conduct of a formal systematic review and meta-analysis of a well-defined clinical/health research question. The overarching aim is to provide students with the tools to critically appraise and conduct a systematic review and meta-analysis.  Students will largely work in pairs to progress through each step involved (with feedback from instructors at each stage) and to produce a final systematic review and meta-analysis to be presented/submitted at the end of the course.  
Course Objectives:
1.  To demonstrate an understanding of the rationale underlying a systematic review and meta-analysis and relevance to clinical care and health policy;
2.  To critically appraise a systematic review;
3.  To develop a focused research question amenable to a systematic review;
4.  To develop and implement a comprehensive and systematic literature search strategy;
5.  To determine and apply procedures for including/excluding potential studies for a systematic review and meta-analysis;
6.  To develop and implement a data abstraction process and study database;
7.  To demonstrate an understanding of the fundamental statistical/biostatistical issues relevant to the conduct of a formal systematic review and meta-analysis.
8.  To perform statistical analyses for a systematic review and meta-analysis and complete/present a final report demonstrating all stages involved.

Students will need to meet with Course Coordinators and provide of appropriate previous experience with linear and/or logistic regression techniques.",waterloo
141,Experimental Design,stat830,"Review of experimental designs in a regression setting; analysis of variance; replication, balance, blocking, randomization, and interaction; one-way layout, two-way layout, and Latin square as special cases; factorial structure of treatments; covariates; treatment contrasts; two-level fractional factorial designs; fixed versus random effects; split-plot and repeated-measures designs; other topics.",waterloo
142,Generalized  Linear Models and Applications,stat831,"Review of normal linear regression and maximum likelihood estimation. Computational methods, including Newton-Raphson and iteratively reweighted least squares. Binomial regression; the role of the link function. Goodness-of-fit, goodness-of-link, leverage. Poisson regression models. Generalized linear models. Other topics in regression modelling.",waterloo
143,Stochastic Processes,stat833,"Random walks, renewal theory and processes and their application, Markov chains, branching processes, statistical inference for Markov chains.",waterloo
144,Statistical Methods for Process Improvement,stat835,"Statistical methods for improving processes based on observational data. Assessment of measurement systems. Strategies for variation reduction. Process monitoring, control and adjustment. Clue generation techniques for determining the sources of variability. Variation transmission.",waterloo
145,Introduction to the Analysis of Spatial Data in Health Research,stat836,The objective of this course is to develop understanding and working knowledge of spatial models and analysis of spatial data.  The course provides an introduction to the rudiments of statistaical inference based on spatially correlated data.  Methods of estimation and testing will be developed for geostatistical models based on variograms and spatial autoregressive models.  Concepts and application of methods will be emphasized through case studies and projects with health applications.,waterloo
146,Analysis of Longitudinal Data in Health Research,stat837,"This course will provide an introduction to principles and methods for the analysis of longitudinal data.  Conditional and random effect of modeling approaches to regression analysis will be covered, as well as semiparametric methods based on generalized estimating equations.  The importance of model assessment and parameter interpretation will be emphasized.  Problems will be motivated by applications in epidemiology, clinical medicine, health services research, and disease natural history studies.  Students will be required to think critically about appropriate strategies for data analysis.  Analysis will be carried out with appropriate statistical software.",waterloo
147,Computational Inference,stat840,"Introduction to and application of computational methods in statistical inference.  Monte Carlo evaluation of statistical procedures, exploration of the likelihood function through graphical and optimization techniques including EM.  Bootstrapping, Markov Chain Monte Carlo, and other computationally intensive methods.",waterloo
148,Statistical Learning - Classification,stat841,"Given known group membership, methods which learn from data how to classify objects into the groups are treated.  Review of likelihood and posterior based discrimination.  Main topics include logistic regression, neural networks, tree-based methods and nearest neighbour methods.  Model assessment, training and tuning.",waterloo
149,Data Visualization,stat842,"Visualization of high dimensional data including interactive methods directed at exploration and assessment of structure and dependencies in data.  Methods for finding groups in data including traditional and modern methods of cluster analysis.  Dimension reduction methods including multi-dimensional scaling, nonlinear and other methods.",waterloo
150,Statistical Learning - Function Estimation,stat844,"Methods for finding surfaces in high dimensions from incomplete or noisy functional information.  Both data adaptive and methods based on fixed parametric structure will be treated.  Model assessment, training and tuning.",waterloo
151,Statistical Concepts for Data Science,stat845,"This is a foundational survey course designed for Data Science students who do not have an undergraduate degree in statistics. It provides an understanding and  appreciation of the essential statistical concepts needed for Data Science. It has modular design with the following modules: probability for statistics, concepts of statistical inference, simulation and Monte Carlo methods, regression modelling, planning empirical studies, and drawing conclusions from data. Emphasis will
be on exposing students to the core concepts and illustrating them largely through examples.",waterloo
152,Exploratory Data Analysis,stat847,"This course introduces Data Science students to exploratory data analysis with a focus on the concepts and tools necessary for understanding and successfully undertaking an end to end exploratory analysis of large and complex data.  All stages of data collection, preparation and cleaning, importation into a statistical programming environment, data manipulation, as well as analysis and visualization will be treated.  Material will be presented via case studies which will involve hands on programming and analysis.  Methods and models (both statistical and computational) will be introduced as needed according to the nature of the data encountered in each case.  The case studies will be chosen to give a breadth of experience to the student. A modern statistical programming language will be used throughout.",waterloo
153,Estimation and Hypothesis Testing,stat850,Discussion of inference problems under the headings of hypothesis testing and point and interval estimation. Frequentist and Bayesian approaches to inference. Construction and evaluation of tests and estimators. Large sample theory of point estimation.,waterloo
154,Sampling Theory and Practice,stat854,"Sources of survey error. Probability sampling designs, estimation and efficiency comparisons. Distribution theory and confidence intervals. Generalized regression estimation. Software for survey analysis.",waterloo
155,Short Course in Statistics,stat870,,waterloo
156,Topics in Statistics,stat890,,waterloo
157,Topics in Probability,stat891,,waterloo
158,PhD Research Skills,stat900,"This course acts as a capstone on the coursework based part of the PhD program and as a stepping stone to the PhD proposal and to research. It is aimed at developing research skills: critically reading published research, summarizing and synthesizing areas of research, writing and orally presenting summaries of research problems, data sets and theoretical and applied results. The course is designed to be integrative across core areas of the student discipline.",waterloo
159,Theory of Probability 1,stat901,"Probability measures, random variables as measurable functions, expectation, independence, characteristic functions, limit theorems, applications.",waterloo
160,Theory of Probability 2,stat902,"Review of conditioning on sigma-fields; martingale theory (discrete and continuous-time) and applications; counting processes; Brownian motion; stochastic differential and integral equations and applications; general theory of Markov processes (including martingale problems and semigroup theory), diffusions; weak convergence of stochastic processes on function spaces; functional versions of the central limit theorem and strong laws; convergence of empirical processes.",waterloo
161,Computer Intensive Methods for Stochastic Models in Finance,stat906,"Review of basic numerical methods. Simulation of random variables, stochastic processes and stochastic models in finance. Numerical solution of deterministic and stochastic differential equations. Valuation of complex financial instruments and derivative securities. Project and paper.",waterloo
162,Statistical Inference,stat908,"Principles of Inference: sufficiency, conditionality, and likelihood; examples and counter examples; conditional inference and ancillarity. Theory of Hypothesis Testing: Neyman-Pearson lemma; similar tests; invariant tests. Asymptotic Theory: maximum likelihood and related theory; large-sample properties of parametric significance tests. Interval Estimation: confidence intervals and significance intervals; location and scale models, conditional intervals. Introduction to Decision Theory: loss and risk functions, admissibility; minimax and Bayes rules; prior and posterior analysis. The course content of Stat 850 is a presumed prerequisite for Stat 908.",waterloo
163,Multivariate Analysis,stat923,"Multivariate problems as extensions of univariate problems, discriminant analysis, canonical correlation and principle component analysis.",waterloo
164,Time Series 1,stat929,"Iterative model building. ARIMA models, application to forecasting, seasonal models, applications.",waterloo
165,Time Series 2,stat930,"Multiple time series modeling including transfer function and intervention analysis. Various special topics in time series such as outliers, robustness, order determination methods, Kalman filtering, sampling and aggregation, seasonal adjustments.",waterloo
166,Causal Inference and Epidemiological Studies,stat931,"Causal inference in health research will be covered. Methods for the design and analysis of randomized controlled trials including randomization techniques, sample size and power calculations, and specialized additional topics including missing data, noncompliance, and ethics. The design and analysis of classical and modern epidemiological studies will then be discussed for settings in which randomization is not feasible. Causal inference methodologies for the analysis of observational data include propensity scores, marginal structural models and instrumental variables. Studies will be discussed from the epidemiological literature and other sources in the public domain. Simulations and data analyses will be carried out using software (e.g. R or SAS). Students will be trained and assessed in part based on the preparation of reports and delivery of presentations.",waterloo
167,Classification and Prediction in High Dimensional Analysis in Health Research,stat932,"In this course, we will cover classification and prediction in health research with a view to applications to screening and diagnosis of disease. This will lead to methods for evaluating the performance of various types of statistical models and learning techniques/algorithms. Cross-validation and bootstrap approaches will be introduced for model performance evaluation, and we will discuss discrimination and calibration as different components of prediction performance. We will cover variable selection techniques, including for high-dimensional data, with an emphasis on regularization techniques such as the LASSO and its variants. Model validation, both internal and external, and model updating will be covered, and we will also discuss post-model selection inference. An important focus will be on biomarker evaluation for a given disease, potentially connected to therapy, and leading to coverage of precision/personalized medicine. Finally, there will be coverage on the importance of reproducible and replicable research. Examples from different problems in health, including genetics, will be presented, and software (e.g. R or SAS) will be used throughout the course.",waterloo
168,Analysis of Survival Data,stat935,This course deals with methods of analyzing data on the time to failure with particular emphasis on the use of regression models for such data. Both parameteric and semi-parametric regression models will be considered.,waterloo
169,Analysis of Longitudinal Data,stat936,"This course covers methods for analyzing data in which repeated measures have been obtained for individuals in health studies over time. Different methods will be discussed to handle both continuous and discrete longitudinal response data, with examples from biomedical and population health datasets. Some of the approaches covered will include linear, non-linear, and generalized linear mixed effects models, as well as generalized estimating equations and transition models, with distinctions drawn between subject-specific and population averaged approaches for generalized linear longitudinal response data. Also, there will be coverage of exploratory methods, evaluation of model assumptions and adapting to assumption violations, approaches for handling missing data, and treatment of advanced topics such as semiparametric and nonparametric models for longitudinal data. Software (e.g. R or SAS) will be used throughout the course.",waterloo
170,Statistical Consulting,stat938,"This course will cover some of the basic tools of a statistical consultant. Topics will include the use of statistical packages, problem-solving techniques, discussion of common statistical consulting problems, effective communication of statistical concepts and management of consulting sessions.",waterloo
171,Topics in Probability and Statistics,stat946,Topics of current interest,waterloo
172,Topics in Biostatistics,stat947,Topics of current interest,waterloo
173,Financial Econometrics,stat974,"The focus of this course is on the statistical modelling, estimation and inference and forecasting of nonlinear financial time series, with a special emphasis on volatility and correlation of asset prices and returns.  Topics to be covered normally include: review on distribution and dynamic behaviour of financial time series, univariate and multivariate GARCH processes, long-memory time-series processes, stochastic volatility models, modelling of extreme values, copulas, realized volatility and correlation modelling for ultra high frequency data and continuous time models.",waterloo
174,Fundamentals of Enumerative Combinatorics,co601,"Elementary counting, bijections. Sets, weights, decompositions.  The ordinary generating series, sum, product, composition and differentiation lemmas; formal use in combinatorial identities.  The algebra of formal power series.  Strings on a finite alphabet.  Unique factorization of strings.  Pattern and noncommutative methods.  The Maximal Decomposition Theorem.  Rational and algebraic generating series, linear recurrence equations.  Integer partitions.  Functional equation.   Ferrers graph, geometric decompositions, Euler's Pentagonal Number Theorem.  Vector spaces over GF(q), linear transformations, finite forms of partition theorems, Gaussian coefficients.  Inversions in permutations.  The exponential generating series, rule of sum and product, composition and differentiation lemmas.  Disjoint cycles and permutations, functions, set partitions, graphs.  Lagrange's Implicit Function Theorem.  Lattice paths, Wiener-Hopf Factorization.  Lattice polygons, polyominos, trees and functions.  Formal use in combinatorial identities.  Enumeration under group action, Orbit-Stabilizer Theorem, Burnside's Lemma, Polya's Theorem.  Necklaces, abstract trees and trees embedded in the plane.",waterloo
175,Fundamentals of Optimization,co602,"Linear optimization: Farkas' Lemma, duality, Simplex method, geometry of polyhedra. Combinatorial optimization: integrality of polyhedra, total unimodularity, flow problems, weighted bipartite matching. Continuous optimization: convex sets, Separation Theorem, convex functions, analytic characterizations of convexity, Karush-Kuhn-Tucker Theorem.",waterloo
176,Algebraic Enumeration,co630,"The algebra of formal Laurent series.  Multivariate ordinary generating functions and exponential generating functions. The Lagrange Implicit Function Theorem, the MacMahon Master Theorem.  Enumeration of planar triangulations. The Transfer Matrix method.  Sieve methods, Inclusion/Exclusion, Möbius inversion.  Pólya Enumeration, Enumeration of Trees.  Basic hypergeometric series, q-analogues, Rogers-Ramanujan identities.  Asymptotic methods.",waterloo
177,Symmetric Functions,co631,"The ring of symmetric functions, standard bases, the Hall inner project.  Young tableaux.  The Robinson-Schensted-Knuth correspondence, the hood-length formula, the Jacobi-Trudi formula, the Pieri rule, the Littlewood-Richardson rule.  Representation theory of the symmetric groups.  Enumeration of plane partitions.  Enumeration of maps on surfaces.  Other topics.",waterloo
178,Combinatorial Designs,co634,"Pairwise orthogonal latin squares. Transversal designs and finite planes. Balanced incomplete block designs, group divisible designs and pairwise balanced designs. Symmetric designs and Hadamard matrices. Recursive constructions. Wilson's fundamental construction.",waterloo
179,Topics in Combinatorics,co639,,waterloo
180,Topics in Graph Theory,co640,,waterloo
181,Graph Theory,co642,"Colouring: Brooks' Theorem and Vizing's Theorem. Flows: integer and group-valued flows, the flow polynomial, the 6-flow theorem. Extremal graph theory; Ramsey's theorem, Turan's theorem, Mader's theorem on graphs with no n-clique-minor. Probabilistic methods: Lower bounds for Ramsey numbers, graphs with large girth and chromatic number.",waterloo
182,Algebraic Graph Theory,co644,Automorphisms. Cayley graphs and their properties. Arc and distance transitive graphs. Generalised polygons. homomorphisms and covers. Adjacency and incidence matrices. Eigenvectors of graphs. Quotients. Interlacing. Strongly regular graphs. Line graphs and graphs with least eigenvalue -2. Expanders. Shannon capacity.,waterloo
183,Matroid Theory,co646,"This is an introductory course on matroid theory, with particular emphasis on graphic matroids and on topics that are applicable to graph theory.  The topics include: matroid intersection and partition, graphic matroids, matroid connectivity, regular matroids, and representable matroids.  Applications include: matching, disjoint spanning trees, the 8-flow theorem for graphs, planarity testing, and recognizing totally unimodular matrices.",waterloo
184,Combinatorial Optimization,co650,"Characterizations of optimalsolutions and efficient algorithms for optimization problems over discrete structures. Topics include network flows, optimal matchings, T-joins and postman tours, matroid optimization.",waterloo
185,Integer Programming,co652,Formulation of problems as integer linear programs. Solution by branch-and-bound and cutting plane algorithms. Introduction to the theory of valid inequalities and polyhedral combinatorics.,waterloo
186,Convex Optimization and  Analysis,co663,"An introduction to the modern theory of convex programming, its extensions and applications. Structure of convex sets, separation and support, subgradient calculus for convex functions, Fenchel conjugacy and duality, Lagrange multipliers. Ellipsoid method for convex optimization.",waterloo
187,Quadratic Programming,co664,"A course on theory and solution algorithms for the minimization of a convex quadratic function subject to linear constraints. Karush-Kuhn-Tucker conditions, duality theory. Active set solution algorithms and their parametric extensions. Quadratic programmes as linear complementarity problems. Applications in portfolio optimization and structural analysis.",waterloo
188,Continuous Optimization,co666,"Numerical algorithms for nonlinear optimization. Newton, variable-metric, quasi-Newton and conjugate gradient methods. Obtaining derivatives. Convexity. Trust region methods. Constrained optimization including optimality conditions, sequential quadratic programming, interior point and active set strategies.",waterloo
189,Semidefinite Optimization,co671,"Optimization over convex sets described as the intersections of the set of symmetric, positive semidefinite matrices with affine spaces.  Formulations of problems from combinatorial optimization, graph theory, number theory, probability and statistics, engineering design and control theory.  Theoretical and practical consequences of these formulations.  Duality theory and algorithms.",waterloo
190,Optimization for Data Science,co673,"Techniques for formulating data science models as optimization problems. Algorithms for solving data science problems with an emphasis on scalability, efficiency and parallelizability including gradient-descent based algorithms, derivative-free algorithms, and randomized algorithms. Theoretical analyses of algorithms and approaches for recognizing the most suitable algorithm for solving a particular problem.",waterloo
191,Quantum Information Processing,co681,"Review of basics of quantum information and computational complexity; Simple quantum algorithms; Quantum Fourier transform and Shor factoring algorithm: Amplitude amplification, Grover search algorithm and its optimality; Completely positive trace-preserving maps and Kraus representation; Non-locality and communication complexity; Physical realizations of quantum computation: requirements and examples; Quantum error-correction, including CSS codes, and elements of fault-tolerant computation; Quantum cryptography; Security proofs of quantum key distribution protocols; Quantum proof systems.  Familiarity with theoretical computer science or quantum mechanics will also be an asset, though most students will not be familiar with both.",waterloo
192,The Mathematics of Public-Key Cryptography,co685,"An in-depth study of public-key cryptography, including: number-theoretic problems - prime generation, integer factorization, discrete logarithms; public-key encryption; digital signatures; key establishment; secret sharing; and security definitions and proofs.",waterloo
193,Applied Cryptography,co687,"A broad introduction to cryptography, highlighting the major developments of the past twenty years, including symmetric ciphers, hash functions and data integrity, public-key encryption and digital signatures, key establishment, and key management. Applications to internet security, computer security, communications security, and electronic commerce will be studied.",waterloo
194,Literature and Research Studies,co690,,waterloo
195,Asymptotic Enumeration,co730,"Methods of obtaining asymptotic estimates for sums arising in enumeration. Application to Bell numbers, the distribution of balls into cells, and random graphs. Methods for obtaining asymptotic  estimates for the coefficients of generating functions. Application to random planar graph problems and to unimodality problems.",waterloo
196,Topics in Combinatorial Design,co734,,waterloo
197,Probabilistic Methods in Discrete Mathematics,co738,"The probabilitistic method proves the existence of a combinatorial structure by showing a random element in an appropriate probability space has the desired properties with positive probability. The course will introduce the basic techniques and give applications in graph theory, combinatorics, discrete optimization, theoretical CS. In particular, some of the following will be considered: linearity of expectation; alterations; the second moment method; bounding of large deviations; the local lemma; correlation inequalities; martingales and tight concentration; discrepancy; derandomization.",waterloo
198,Topics in Combinatorics,co739,,waterloo
199,Directed Graphs and Applications,co743,"An introduction to the concepts of directed graphs, problems about directed circuits and directed cuts, and minimax equalities relating these and other graphical objects.",waterloo
200,Graph Theory Algorithms,co745,"A general study of algorithms for the solutions of problems in graph theory. Included are algorithms for graph isomorphism, planarity, connectedness, chromatic number, spanning trees, circuits and many others.",waterloo
201,Topics in Graph Theory,co749,,waterloo
202,Topics in Combinatorial Optimization,co750,,waterloo
203,Topics in Matroid Theory,co751,,waterloo
204,Approximation Algorithms in Combinatorial Optimization,co754,"The course studies some of the successful paradigms for designing approximation algorithms and for proving approximation guaranteees, such as the greedy method, formulating and solving linear programming relaxations, the primal-dual method, randomized rounding, semidefinite programming relaxations, approximation of metrics. Also, the PCP theorem, and its application to the hardness of approximating specific problems, e.g., set covering and shortest lattice vector.",waterloo
205,Topics in Discrete Optimization,co759,,waterloo
206,Mathematical Programming,co765,,waterloo
207,Topics in Continuous Optimization,co769,,waterloo
208,Mathematical Operations Research,co771,,waterloo
209,Portfolio Optimization,co778,"Basic optimization: quadratic minimization subject to leanear equality constraints. Effecient portfolios: the efficient frontier, the capital market line, Sharpe ratios and threshold returns. Practical portfolio optimization: short sales restrictions target portfolios, transactions costs. Quadratic programming theory. Special purpose quadratic programming algorithms for portfolio optimization: today's large investment firms expect to solve problems with at least 1000 assets, transactions costs and various side constraints in just a few minutes of computation time. This requires very specialized QP algorithms. An overview of such algorithms will be presented with computational results from commercial problems. The efficient frontier, the capital market line, Sharpe ratios and threshold returns in practice.",waterloo
210,Topics in Operations Research,co779,,waterloo
211,Topics in Quantum Information,co781,,waterloo
212,Algorithmic Number Theory,co785,Fundamental problems of elementary and algebraic number theory from an algorithmic and computational complexity point of view with emphasis placed on analysis of algorithms. Topics include basic arithmetic algorithms; computation over finite fields; primality testing; algorithms for integer factorization; algorithms in number fields.,waterloo
213,Topics in Cryptography,co789,,waterloo
214,Seminar in Combinatorics,co839,,waterloo
215,Seminar in Graph Theory,co849,,waterloo
216,Seminar in Discrete Optimization,co859,,waterloo
217,Seminar in Continuous Optimization,co869,,waterloo
218,Seminar in Operations Research,co879,,waterloo
219,Fundamentals of Computer Science for Data Science,cs600,"This course is designed for Data Science MMath students who do not have an undergraduate degree in Computer Science. It provides these students with the background needed to take Data Science graduate courses with a strong computational flavour. Topics include the following. The design and operation of processors. Memory hierarchies. Basic concepts of operating systems, concurrency, parallelism, and networks. Elementary data structures and their use in algorithm design and analysis.",waterloo
220,Data-Intensive Distributed Analytics,cs631,"Introduces non-CS major students to infrastructure for data-sensitive analytics, with a focus on abstractions, frameworks, and algorithms that allow developers to distribute computations across many machines.  Topics include core concepts (partitioning, replication, locality, consistency), computational models (MapReduce, dataflows, stream processing, bulk-synchronous parallel), and applications.",waterloo
221,Security and Privacy in Health Systems,cs634,"An overview of basic security and privacy principles relevant in the design and use of applications in health settings.  Program security, operating system security, network security, data security, and issues related to the management of security and privacy policies are introduced.  Master of Health Informatics students only.",waterloo
222,Introduction to Computer Networks and Distributed Computer Systems,cs636,"An introduction to computer networks, Internet protocols, and distributed systems.  Layered models, naming, addressing and routing, reliable communication, security, and elements of distributed system design. Master of Health Informatics students only.",waterloo
223,Principles of Data Management and Use,cs638,"A user-oriented approach to the management of large collections of data.  Relational database technology, relational algebra, SQL, database views, transactions, data modelling methodology, entity-relationship models.  Introduction to several current topics in database research, such as warehousing, data mining, managing data streams, data cleaning, data integration, and distributed/parallel databases.  Master of Health Informatics students only.",waterloo
224,Principles of Programming Languages,cs642,"An exposure to important concepts and issues in contemporary programming languages. Data types, abstraction, and polymorphism. Program structure. Lambda calculus and functional programming, logic programming, object-oriented programming. Semantics of programming languages. Critical comparison of language features and programming methodologies using examples drawn from a variety of programming languages including Lisp, Prolog, ML, Ada, Smalltalk, Icon, APL, and Lucid. Programming assignments involve the use of some of these languages.",waterloo
225,Compiler Construction,cs644,"Phases of compilation. Lexical analysis and a review of parsing. Compiler-compilers and translator writing systems. LEX and YACC. Scope rules, block structure, and symbol tables. Runtime stack management. Parameter passage mechanisms. Stack storage organization and templates. Heap storage management. Intermediate code. Code generation. Macros.",waterloo
226,Software Requirements Specification and Analysis,cs645,"Introduces students to the requirements definition phase of software development: Models, notations, and processes for software requirements identification, representation, analysis, and validation.  Cost estimation from early documents and specifications.",waterloo
227,Software Design and  Architectures,cs646,"Introduces students to the design, implementation, and evolution phases of software development.  Software design processes, methods, and notation.  Implementation of designs. Evolution of designs and implementations.  Management of design activities.",waterloo
228,"Software Testing, Quality Assurance and Maintenance",cs647,"Introduces students to systematic testing of software systems.  Software verification, reviews, metrics, quality assurance, and prediction of software reliability and availability.  Related management issues.",waterloo
229,Database Systems Implementation,cs648,"The objective of this course is to introduce students to fundamentals of building a relational database management system.  The course focuses on the database engine core technology by studying topics such as storage management (data layout, disk-based data structures), indexing, query processing algorithms, query optimization, transactional concurrency control, logging and recovery.  Preference will be given to CS graduate students.  All other require permission from the school.",waterloo
230,Human-Computer Interaction,cs649,"An introduction to the fundamental theories, methods, and research in the design and evaluation of description:  novel computational artifacts designed to meet real-world human needs.",waterloo
231,Computer Architecture,cs650,"The course is intended to provide the student with an appreciation of modern computer design and its relation to system architecture, compiler technology and operating system functionality. The course places an emphasis on design based on the measurement of performance and its dependency on parallelism, efficiency, latency and resource utilization.",waterloo
232,Data-Intensive Distributed Computing,cs651,"Introduces students to infrastructure for data-intensive computing, with a focus on abstractions, frameworks, and algorithms that allow developers to distribute computations across many machines.  Topics include core concepts (partitioning, replication, locality, consistency), computational models (MapReduce, dataflows, stream processing, bulk-synchronous parallel), and applications.",waterloo
233,Real-Time Programming,cs652,"Intended to give students experience with tools and techniques of real-time programming, this course includes not only issues of microcomputer architecture and a real-time programming language and operating system, but also hands-on experience programming a microcomputer for applications such as process control, data acquisition and communication. .Preference will be given to CS graduate students.  All others require approval from the department.",waterloo
234,Distributed Systems,cs654,"An introduction to distributed systems, emphasizing the multiple levels of software in such systems. Specific topics include fundamentals of data communications, network architecture and protocols, local-area networks, concurrency control in distributed systems, recovery in distributed systems, and clock synchronization. Preference will be given to CS graduate students.  All others require approval from the department.",waterloo
235,Computer Networks,cs656,"An introduction to network architectures and protocols, placing emphasis on protocols used in the Internet.  Specific topics include application layer protocols, network programming, transport protocols, routing, multicast, data link layer issues, multimedia networking, network security, and network management.",waterloo
236,System Performance Evaluation,cs657,"Basic techniques of system performance evaluation. Specific topics include: performance modeling, discrete event simulation, verification and validation of simulation models, analysis of simulation output, analysis of single server queue and queueing networks, modeling of computer systems, networks, and other queueing or non-queueing systems.",waterloo
237,Computer Security and Privacy,cs658,"Security and privacy issues in various aspects of computing.  Specific topics include: comparing security and privacy, program security, writing secure programs, controls against program threats, operating system security, formal security models, network security, Internet application security and privacy, privacy-enhancing technologies, database security and privacy, inference data mining, security policies, physical security, economics of security, and legal and ethical issues.  (Note: Knowledge of operating systems equivalent to that obtained from CS 350 is assumed.)",waterloo
238,Formal Languages and Parsing,cs662,"Languages and their representations. Grammars-Chomsky hierarchy. Regular sets and sequential machines. Context-free grammars-normal forms, basic properties. Pushdown automata and transducers. Operations on languages. Undecidable problems in language theory. Applications to the design of programming languages and compiler construction.",waterloo
239,Computational Complexity Theory,cs664,"The classification of problems according to the computational resources required for their solution, with emphasis on properties of feasible computations rather than on specific algorithms. Topics include: time and space complexity, tractable and intractable problems, computation using randomness, parallel computation.",waterloo
240,Algorithm Design and Analysis,cs666,"Design of good algorithms and analysis of the resources they consume. Lower bounds on the resource requirements of algorithms to compute certain functions. Problems from the following areas are discussed in this light: sorting and order statistics, data structures, arithmetic computations, the NP-complete problems.",waterloo
241,Computational Linear Algebra,cs675,"Basic concepts and implementation of numerical linear algebra techniques and their use in solving application problems.  Special methods for solving linear systems having special features.  Direct methods: symmetric, positive definite, band, general sparse structures, ordering methods.  Iterative methods: Jacobi, Gauss-Seidel, SOR, conjugate gradient.  Computing and using orthogonal factorizations of matrices.  QR and SVD methods for solving least squares problems.  Eigenvalue and singular value decompositions.  Computation and uses of these decompositions in practice.",waterloo
242,Numeric Computation for Financial Modelling,cs676,"The interaction of financial modes, numerical methods, and computing environments.  Basic computational aspects of option pricing and hedging. Numerical methods for stochastic differential equations, strong and weak convergence.  Generating correlated random numbers.  Time-stepping methods.  Finite difference methods for Black-Scholes equation.  Discretization, stability, convergence.  Methods for portfolio optimization, effect of data errors on portfolio weights. (Heldwith CS 476).",waterloo
